t,x_norm,z_factor,y_forecast,lower95,upper95
121,1.008333,449.820183,115.24851395264953,108.55705187696564,121.93997602833342
122,1.016667,440.034327,113.44714310170147,106.75568102601758,120.13860517738536
123,1.025,427.63018,110.97663720785596,104.28517513217207,117.66809928353985
124,1.033333,421.879829,109.84958036438441,103.15811828870052,116.5410424400683
125,1.041667,430.097284,111.60629447599182,104.91483240030793,118.2977565516757
126,1.05,454.62111,116.738130331773,110.0466682560891,123.42959240745688
